127.0.0.1 - - [15/May/2026 22:24:10] "HEAD /home-search/ HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /?_=1778898259373 HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /home-search/?_=1778898259376 HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/media/904be59b21bd51cb-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/css/dbdca39cce4ebc2a.css HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/media/a273567b21a7c318-s.p.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /markets/fort-lauderdale.jpg HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /mia-headshot.jpg HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /markets/boca-raton.jpg HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /logo-lpt.png HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /markets/palm-beach.jpg HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/chunks/webpack-56fde41b55fa53df.js HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /?_=1778898259366 HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/chunks/4bd1b696-c41c22badabd4b31.js HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /home-search/?_=1778898259374 HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/chunks/517-e142ec6174824ab2.js HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /manifest.webmanifest HTTP/1.1" 200 -
127.0.0.1 - - [15/May/2026 22:24:20] "GET /_next/static/css/dbdca39cce4ebc2a.css HTTP/1.1" 200 -
